Year,Pop
1788,
1789,
1790,
1791,
1792,
1793,
1794,
1795,
1796,
1797,
1798,
1799,
1800,
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,
1809,
1810,
1811,
1812,
1813,
1814,
1815,
1816,
1817,
1818,
1819,
1820,
1821,
1822,
1823,
1824,
1825,
1826,
1827,
1828,
1829,1003
1830,1172
1831,1341
1832,1510
1833,1655
1834,1800
1835,1878
1836,1956
1837,2035
1838,1928
1839,2154
1840,2311
1841,2760
1842,3476
1843,3853
1844,4350
1845,4479
1846,4547
1847,4717
1848,4622
1849,4645
1850,5886
1851,7186
1852,8711
1853,9334
1854,11743
1855,12605
1856,13158
1857,13368
1858,14543
1859,14837
1860,15346
1861,15936
1862,17676
1863,19412
1864,20363
1865,21381
1866,22370
1867,23147
1868,24292
1869,24653
1870,25135
1871,25447
1872,25856
1873,25952
1874,26455
1875,27002
1876,27673
1877,28242
1878,28612
1879,29139
1880,29561
1881,30156
1882,31016
1883,32086
1884,33546
1885,35959
1886,40604
1887,43820
1888,43814
1889,45660
1890,48502
1891,53177
1892,58569
1893,64923
1894,81579
1895,100515
1896,136816
1897,160495
1898,166878
1899,170258
1900,179967
1901,193601
1902,211973
1903,224748
1904,239408
1905,250138
1906,255173
1907,254540
1908,259671
1909,265675
1910,276832
1911,293923
1912,305621
1913,319935
1914,322089
1915,316663
1916,306880
1917,306838
1918,310183
1919,327860
1920,331323
1921,336548
1922,345544
1923,356859
1924,368324
1925,377527
1926,385233
1927,399897
1928,414621
1929,426637
1930,431610
1931,433686
1932,436320
1933,440642
1934,443729
1935,449623
1936,454200
1937,460542
1938,466684
1939,472380
1940,474076
1941,473213
1942,476655
1943,478264
1944,484775
1945,490088
1946,496973
1947,508762
1948,521999
1949,544184
1950,572649
1951,590339
1952,612935
1953,631743
1954,648707
1955,668609
1956,681268
1957,695234
1958,707196
1959,718691
1960,731033
1961,755213
1962,777248
1963,798895
1964,818121
1965,838248
1966,864093
1967,896988
1968,937800
1969,976620
1970,1014052
1971,1070347
1972,1092604
1973,1113982
1974,1145991
1975,1167403
1976,1191680
1977,1217216
1978,1236401
1979,1257092
1980,1283505
1981,1320221
1982,1354971
1983,1381011
1984,1403032
1985,1436900
1986,1477398
1987,1513355
1988,1558914
1989,1596225
1990,1624390
1991,1647408
1992,1668515
1993,1690348
1994,1718549
1995,1751933
1996,1783556
1997,1810928
1998,1840078
1999,1866265
2000,1892531
2001,1917752
2002,1938610
2003,1966130
2004,1994241
2005,2029936
2006,2076867
2007,2135006
2008,2208928
2009,2263747
2010,2319063
2011,2385947
2012,2457489
2013,2502188
2014,2528619
2015,2547745
2016,2569606
2017,2599928
2018,2636404
2019,2688799
2020,2728187
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
