yyyy,mm,Decade,Location,,Fish,number,size,largest.dhufish,Reference,,,,,,
1895,11,1890-1899,Safety Bay,,Schnapper industry,,,,18951102WA,,,,,,
1896,12,1890-1899,Safety Bay,,Schnapper industry,,,,18961225WM,,,,,,
1908,4,1900-1909,4-mile buoy on Halls Bank,boat,jewfish,1,4 lb,4,19080403DN,,,,,,
1908,,1900-1909,Five Fathom Bank,boat,jewfish,,largest 75 lb,75,19080327DN,,,,,,
1908,,1900-1909,Stragglers,boat,jewfish,,part of 100lb catch,,19080131DN,,,,,,
1908,,1900-1909,"Rottnest Island, 1 mile south-east",,jewfish,4,8lb to 18lb,18,19080320DN,,,,,,
1908,,1900-1909,4-mile buoy on Halls Bank,boat,schnapper,2,,,19080403DN,,,,,,
1908,,1900-1909,Five Fathom Bank,boat,schnapper,,,,19080327DN,,,,,,
1908,,1900-1909,"Garden Island, east side",boat,schnapper,several,largest 12lb & 18 lb,,19080131DN,,,,,,
1908,,1900-1909,off Garden Island,boat,schnapper,some,up to 10lb,,19080320DN,,,,,,
1908,,1900-1909,off Garden Island,boat,schnapper,10,up to 4lb,,19080320DN,,,,,,
1908,,1900-1909,Owens Anchorage,boat,schnapper,8,1.5 lb to 3 lb,,19080320DN,,,,,,
1908,,1900-1909,Stragglers,boat,schnapper,,part of 100lb catch,,19080131DN,,,,,,
1908,,1900-1909,North Mole,,schnapper,7,,,19080403DN,,,,,,
1908,,1900-1909,"Rottnest Island, 1 mile south-east",,schnapper,5,averaging 6 lb,,19080320DN,,,,,,
1910,,1910-1919,"Fremantle, Halls Bank",,"good for schnapper, jewfish and groper. Where cattle ships clean after discharging livestock",,cod of over 20 lb,,19101224WM,,,,,,
1910,,1910-1919,Five Fathom Bank,boat,jewfish,20 fish mixed catch,15-25 lb,25,19100409WA,,,,,,
1910,,1910-1919,"Mandurah, six-mile reef",boat,jewfish,2,"largest 41.5 lb, part of 324 lb catch",41.5,19100104WA,,,,,,
1910,,1910-1919,Five Fathom Bank,boat,schnapper,20 fish mixed catch,5-25 lb,,19100409WA,,,,,,
1910,,1910-1919,"Mandurah, six-mile reef",boat,schnapper,part of 324 lb mixed catch,largest 28.5 lb,,19100104WA,,,,,,
1911,,1910-1919,Carnac Is area,boat,jewfish,,"largest 18 lb, 14 lb & 11 lb. Part of 122 lb catch. ",18,19110211WM,,,,,,
1911,,1910-1919,"Rottnest Island, west of",boat,jewfish,,largest 37.5 lb,37.5,19110211WM,,,,,,
1911,,1910-1919,"Fremantle, Halls Bank",,jewfish,several,largest 14 lb,14,19110909WM,,,,,,
