yyyy,mm,Decade,Location,Zone,...5,Fish,number,size,largest.jewfish,largest.dhufish.kg,Reference,,,,
1908,4,1900-1909,4-mile buoy on Halls Bank,3,boat,jewfish,1,4 lb,4,1.814368,19080403DN,,,,
1908,NA,1900-1909,Five Fathom Bank,8,boat,jewfish,NA,largest 75 lb,75,34.0194,19080327DN,,,,
1908,NA,1900-1909,Stragglers,6,boat,jewfish,NA,part of 100lb catch,,0,19080131DN,,,,
1908,NA,1900-1909,"Rottnest Island, 1 mile south-east",4,NA,jewfish,4,8lb to 18lb,18,8.164656,19080320DN,,,,
1910,NA,1910-1919,Five Fathom Bank,8,boat,jewfish,20 fish mixed catch,15-25 lb,25,11.3398,19100409WA,,,,
1910,NA,1910-1919,"Mandurah, six-mile reef",10,boat,jewfish,2,"largest 41.5 lb, part of 324 lb catch",41.5,18.824068,19100104WA,,,,
1911,NA,1910-1919,Carnac Is area,6,boat,jewfish,NA,"largest 18 lb, 14 lb & 11 lb. Part of 122 lb catch.",18,8.164656,19110211WM,,,,
1911,NA,1910-1919,"Rottnest Island, west of",1,boat,jewfish,NA,largest 37.5 lb,37.5,17.0097,19110211WM,,,,
1911,NA,1910-1919,"Fremantle, Halls Bank",3,NA,jewfish,several,largest 14 lb,14,6.350288,19110909WM,,,,
1911,NA,1910-1919,"Rottnest Island, south side",4,NA,jewfish,several,"largest 38 lb, 26 lb, 23 lb",38,17.236496,19110909WM,,,,
1911,NA,1910-1919,"Rottnest Island, West End",4,NA,jewfish,1,16 lb,16,7.257472,19110401WA,,,,
1912,NA,1910-1919,Rockingham,9,?,jewfish,1,22 lb,22,9.979024,19120518WA,,,,
1912,NA,1910-1919,"Rottnest Island, West End",4,?,jewfish,4,largest 12 lb,12,5.443104,19120129WA,,,,
1912,NA,1910-1919,"Rottnest Island, West End",4,?,jewfish,2,part of 137 lb catch,,0,19120518WA,,,,
1912,NA,1910-1919,South-west passage,4,?,jewfish,2,part of 70 lb catch,,0,19120129WA,,,,
