ID,Reference,yyyy,mm,Location,decade,largest.dhufish.kg,Zone.x,...5,Fish.x,number.x,size,largest.dhufish,Unique_ID,waters,Zone.y,Technology,Technology.mentioned.x,Effort.x,method,precision..high..med..low.,latitude,longitude,Fish.y,Details,lgest.spper,units,weight_conversion,largest.jewfish,number.y,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units,...3,Zone,largest.dhufish.lb,largest.dhufish.length,largest.snapper.lb,largest.snapper.kg,Catches,Technology.mentioned.y,Effort.y,...16
737,20050130,2005,1,"two rocks, 50m depth",2001-2009,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,19121227WM,1912,12,Five Fathom Bank,1910-1919,9.979024,behind_garden_is,boat,jewfish,1,22 lb,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,19151210WM,1915,12,"Rockingham, South Channel area",1910-1919,9.07184,safety_bay,NA,jewfish,NA,up to 20 lb,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,19151210WM,1915,12,"Rockingham, Murray Reefs",1910-1919,12.246984,safety_bay,NA,jewfish,1,27 lb,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,ST 08121957 p.61,1957,12,Rottnest (out past Rottnest),1950-1959,9.979024,NA,NA,NA,NA,NA,NA,22,midshore,rottnest_is,NA,NA,NA,boat,low,NA,NA,jewfish,"three jewfish, 22 lb largest",NA,lb,0.453592,22,3,3,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"three jewfish, 22 lb largest","three , 22 lb largest","jewfish three jewfish, 22 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_3,22,22,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,ST 06121959 p.77,1959,12,Marmion (three miles out),1950-1959,12.47378,NA,NA,NA,NA,NA,NA,59,coastal,nearshore_perth,dinghy,dinghy,4 fishers,Boat,high,NA,NA,jewfish,"five jewfish, 27.5 lb largest; four school sharks 4 ft largest",NA,lb,0.453592,27.5,9,5,0,School shark,"Roy Martin, Archie Summer, Arnie Boal, Bob Dennis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"five jewfish, 27.5 lb largest; four school sharks 4 ft largest","five , 27.5 lb largest; four  4 ft largest","jewfish five jewfish, 27.5 lb largest; four school sharks 4 ft largest",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,jewfish_9,27.5,27,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,ST 13121959 p.67,1959,12,Marmion (four miles around Marmion),1950-1959,11.793392,NA,NA,NA,NA,NA,NA,60,coastal,nearshore_perth,NA,dinghy,1 fisher (amongst 15 boats in competition),boat,high,NA,NA,jewfish,"two jewfish, 26 lb largest",NA,lb,0.453592,26,2,2,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two jewfish, 26 lb largest","two , 26 lb largest","jewfish two jewfish, 26 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_2,26,26,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,ST 03121961 p.36,1961,12,"Rottnest, 5 miles the other side of North End",1960-1969,9.07184,NA,NA,NA,NA,NA,NA,171,offshore,offshore_north,NA,NA,Members of new fishing club Scaborough Surfsiders,boat,high,NA,NA,"jewfish, blue whaler shark. queen spper","twelve jewfish, 20 lb largest; one 30 lb blue whaler shark; one 15 lb N_valenciennesi",NA,lb,0.453592,20,14,12,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"twelve jewfish, 20 lb largest; one 30 lb blue whaler shark; one 15 lb queen spper","twelve , 20 lb largest; one 30 lb ; one 15 lb","jewfish, blue whaler shark. N_valenciennesi twelve jewfish, 20 lb largest; one 30 lb blue whaler shark; one 15 lb N_valenciennesi",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, blue whaler shark. queen spper_14",30,20,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,ST 17121961 p.40,1961,12,Marmion,1960-1969,9.07184,NA,NA,NA,NA,NA,NA,175,coastal,nearshore_perth,NA,NA,2 fishers from Marmion Angling Club,boat,med,NA,NA,jewfish,20 lb,NA,lb,0.453592,20,1,1,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 lb,20 lb,jewfish 20 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,20,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,ST 17121961 p.40,1961,12,Safety Bay (between Garden Island and Safety Bay),1960-1969,17.236496,NA,NA,NA,NA,NA,NA,174,coastal,safety_bay,NA,NA,3 fishers in 1 party,boat,med,NA,NA,"jewfish, spper","four jewfish, 38 lb largest; six spper",NA,lb,0.453592,38,10,4,6,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"four jewfish, 38 lb largest; six spper","four , 38 lb largest; six","jewfish, spper four jewfish, 38 lb largest; six spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper_10",38,38,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
