"iteration","deviance_explained","aic","s_yyyy_p_value"
1,0.247588254229866,18023.0331856917,0
2,0.244234349074557,18006.3677435036,0
3,0.240326923770046,18049.3625967688,0
4,0.232224730409488,18072.311996774,0
5,0.227591818849332,18013.5927667324,0
6,0.238348085023018,18075.0295771292,0
7,0.229478149225218,18056.4907184007,0
8,0.230564767196167,18061.6132480031,0
9,0.233695835422969,18074.2478183347,0
10,0.237627333474204,18023.5912365057,0
11,0.240473777196481,18047.2422597396,0
12,0.231589003658932,18069.2931753058,0
13,0.235333540465379,18043.8840429902,0
14,0.239794953980975,18071.4114759487,0
15,0.249024221130602,18060.5512187001,0
16,0.254287342161016,18048.0019730072,0
17,0.22703852548926,18040.3144018332,0
18,0.239784359455344,18049.9293270114,0
19,0.231354333642066,18046.9489656385,0
20,0.247622440700573,18024.4351542474,0
21,0.230048415964687,18032.1710822173,0
22,0.228208192803661,18016.1455706155,0
23,0.235095211295036,18081.9324839565,0
24,0.234732380358753,18071.7804750416,0
25,0.236773560732287,18043.4354588496,0
26,0.251229618260558,18023.6504001884,0
27,0.239643538591754,18021.0797653829,0
28,0.232273507718643,18044.9099434746,0
29,0.230009969176462,18056.0359055485,0
30,0.229017036892545,18066.0701037778,0
31,0.228434920433785,18066.802372908,0
32,0.229291004367898,18049.5766774018,0
33,0.231858252293208,18075.3175365948,0
34,0.240323509884281,18051.9786192012,0
35,0.232943523698511,18063.8036047872,0
36,0.230221114183681,18043.4804253855,0
37,0.237205297984186,18037.2630538694,0
38,0.239190904552685,18043.7576203409,0
39,0.243217685090174,18063.5096854683,0
40,0.228625758665594,18066.6022734839,0
41,0.238889954649046,18072.1427161584,0
42,0.234917543557634,18068.6907392915,0
43,0.238632796226641,18044.4052313696,0
44,0.236285658043397,18044.2818850163,0
45,0.233421924138075,18056.8990484302,0
46,0.243093514274999,18074.7721866548,0
47,0.231906015858572,18066.2084779745,0
48,0.234492024024484,18001.5493465823,0
49,0.238302662249861,18085.2854296259,0
50,0.233384787465389,18058.069450114,0
51,0.228255178777664,18074.7303846316,0
52,0.237382849001134,18034.3654996343,0
53,0.236235450238625,18011.2649106436,0
54,0.236850058392469,18017.6969985695,0
55,0.235864774780264,18017.7419979313,0
56,0.233344738784991,18050.3403597004,0
57,0.235251722805121,18031.4971764228,0
58,0.230253050406592,18058.3845037116,0
59,0.23609684208418,18036.7851155223,0
60,0.230042947333854,18039.706222305,0
61,0.225061182248272,18084.5930007912,0
62,0.235934433468173,18054.7342808264,0
63,0.233483113134197,18040.7729596538,0
64,0.229307899393766,18060.7848358379,0
65,0.234279346898759,18046.9518492858,0
66,0.233242319896112,18042.3702488712,0
67,0.238796218778165,18075.1388061114,0
68,0.222916731720889,18069.8240058019,0
69,0.237945873399706,18062.1181842829,0
70,0.231347798934523,18080.059230594,0
71,0.232006674847068,18025.7426865417,0
72,0.231709777077362,18066.1741311861,0
73,0.229941845917987,18102.9575249291,0
74,0.240089482204872,18041.5531009382,0
75,0.232939353730639,18057.4440532882,0
76,0.240201771935144,18045.7321048754,0
77,0.240759093959006,18014.0190340318,0
78,0.228381770689623,18012.7948231758,0
79,0.230867691805265,18030.9128827449,0
80,0.222243283702574,18061.1514410008,0
81,0.228983446405709,18056.6459770974,0
82,0.241546500310647,18041.6262984144,0
83,0.241808910910064,18035.7063647051,0
84,0.241421204945763,18044.8713353823,0
85,0.238885248163439,18039.320388526,0
86,0.233734868910813,18047.6121459233,0
87,0.228880966700347,18064.7530649548,0
88,0.231666060297315,18033.9695124258,0
89,0.236109764158938,18032.7002062013,0
90,0.235729351692412,18065.1119551423,0
91,0.223342865127546,18051.4964649528,0
92,0.24299909620998,18038.7396268618,0
93,0.247422170681775,18040.6911374274,0
94,0.233166892517674,18046.8821676273,0
95,0.247195607145819,18038.2093521679,0
96,0.237175603377079,18059.2431648072,0
97,0.226125154785629,18068.0468639577,0
98,0.239892122889041,18055.7355071959,0
99,0.246896422218136,18061.9324462688,0
100,0.250183889257259,18003.4720831321,0
101,0.227388172578973,18014.7358145148,0
102,0.22917429545803,18046.3022548922,0
103,0.219877374203185,18079.9114938986,0
104,0.227733844480269,18050.1623942086,0
105,0.244179129210901,18009.6460711672,0
106,0.24959820227909,18027.1328516948,0
107,0.228265818751424,18057.3373629621,0
108,0.233129980835103,18078.292100617,0
109,0.238620571141568,18039.5823541671,0
110,0.247856248492716,18057.7904019302,0
111,0.22665168421446,18053.2165634305,0
112,0.246609530035894,18024.0897113767,0
113,0.233777016615941,18038.9792265038,0
114,0.242925914085791,18031.2428901514,0
115,0.253958142707338,18017.4130152981,0
116,0.227720381177659,18046.2643783921,0
117,0.240722530607096,18031.4136883501,0
118,0.232929701883009,18034.3739314305,0
119,0.238289658843959,18038.2899968795,0
120,0.244361973544139,18052.1113828046,0
121,0.253134449904929,18042.5583413245,0
122,0.226824891981278,18047.2080567552,0
123,0.248260908769637,18030.2233700299,0
124,0.244952076970177,18055.7903062416,0
125,0.245571808561867,18029.4549651581,0
126,0.229443881924177,18043.6767012681,0
127,0.233086804454528,18068.2327020331,0
128,0.247944449171271,18033.2642975115,0
129,0.241022586949874,18036.388128702,0
130,0.231840393504169,18008.1495097383,0
131,0.227202526539275,18053.3050582502,0
132,0.234324030359068,18061.7298162229,0
133,0.236183285117498,18027.8675485339,0
134,0.253833101219131,18010.0422819837,0
135,0.230046751820456,18075.3415680199,0
136,0.234432596671833,18046.2378819617,0
137,0.240018651961847,18032.3677014807,0
138,0.251554096959447,18029.812377327,0
139,0.236423494800401,18009.5928719396,0
140,0.228281388747649,18078.6422149395,0
141,0.239876116090538,18034.8702330625,0
142,0.237107356976363,18063.5848641433,0
