Unique_ID,Reference,yyyy,mm,Location,waters,Zone,Technology,Technology.mentioned,Effort,method,precision..high..med..low.,latitude,longitude,Fish,Details,lgest.spper,units,weight_conversion,largest.jewfish,largest.dhufish.kg,number,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units
8,ST 16061957 p.46,1957,6,City Beach groyne,coastal,3,"He was fishing with a spinner, light glass rod, and a fixed spool reel'",Fibreglass rod,,shore,high,-31.93882493,115.754204,spper,15 lb,15,lb,0.453592,,0,1,0,1,,,1,,,,,,,,,,,15 lb,15 lb,spper 15 lb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_1,15,,,FALSE,TRUE,FALSE_TRUE
7,ST 19051957 p.46,1957,5,Five Fathom Bank,midshore,8,Deepwater fisherman,,1 fisher,boat,med,,,bronze whaler,5 ft,,,,,0,1,0,0,Bronze whaler,Percy Crackel,1,1,,,,,,,,,,5 ft,5 ft,bronze whaler 5 ft,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bronze whaler_1,5,,,FALSE,FALSE,FALSE_FALSE
5,ST 21041957 p.24,1957,4,"Garden Island, off a back beach",coastal,8,Spearfishing; 'the line fishermen couldn't get a bite but right underneath their boat the spearfishermen shot a 20lb. Jewie',spearfishing,2 spearfishers,boat,med,,,jewfish,one jewfish 20 lb,,lb,0.453592,20,9.07184,1,1,0,,,2,,,,,,,,,,Spatial alysis - heat map,one jewfish 20 lb,one  20 lb,jewfish one jewfish 20 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,20,,,FALSE,TRUE,FALSE_TRUE
21,ST 01121957 p.56,1957,12,"Marmion, off Marmion Beach",coastal,3,Heavy line and boat rod,,2 fishers,boat,med,,,gummy shark,"twelve gummy shark, 5 lb average",,lb,0.453592,,0,12,0,0,Gummy shark,,2,1,,,,,,,,,,"twelve gummy shark, 5 lb average","twelve , 5 lb average","gummy shark twelve gummy shark, 5 lb average",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,gummy shark_12,5,,,FALSE,TRUE,FALSE_TRUE
24,ST 22121957 p.47,1957,12,"Murray River, Yunderdup, three miles upstream",coastal,,,,1 fisher,shore,high,-32.58080179,115.81908,grey nurse,3 ft.,,,,,0,1,0,0,Grey nurse,Alf Okamato,1,,,,,,,,,,,3 ft.,3 ft.,grey nurse 3 ft.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,grey nurse_1,3,,,FALSE,FALSE,FALSE_FALSE
2,ST 17021957 p.30,1957,2,north of Rottnest,midshore,4,Using a depth sounder on their boat…they picked out their reef and settled in,echo sounder,2 men,boat,low,,,jewfish,"fourteen jewfish, average weight 20 lb",,lb,0.453592,,0,14,14,0,,,2,1,,,,,,,,,Catch rates for individual species,"fourteen jewfish, average weight 20 lb","fourteen , average weight 20 lb","jewfish fourteen jewfish, average weight 20 lb",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_14,20,,,FALSE,TRUE,FALSE_TRUE
10,ST 30061957 p.42,1957,6,Rockingham val Base Groyne,coastal,9,,,1 fisher,shore,high,-32.1832136,115.7751349,spper,five spper,,,,,0,5,0,5,,,1,,,,,,,,,,How does specific detail in locations change through time?,five spper,five ,spper five spper,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_5,#ME?,,,FALSE,FALSE,FALSE_FALSE
6,ST 28041957 p.46,1957,4,Rockingham val Jetty,coastal,9,Dick was fishing from his dinghy just off the jetty. He was using cord lines and trumpeter and octopus bait'`,"cord line, dinghy",1 fisher,boat,high,-32.27679568,115.720326,spper,two spper 30 lb largest,30,lb,0.453592,,0,2,0,2,,,1,1,,,,,,,,,"Variation in CPUE or SIZE across time, accounting for broad loactions and individual fishers - LMM",two spper 30 lb largest,two  30 lb largest,spper two spper 30 lb largest,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_2,30,,,FALSE,TRUE,FALSE_TRUE
14,ST 20101957 p.48,1957,10,Rottnest,midshore,4,,,3 fishers in 2 hours,boat,low,,,"jewfish, spper, groper","seven jewfish, largest  21 lb; three spper; two  groper",,lb,0.453592,21,9.525432,12,7,3,,,3,1,2,,,,,,,,,"seven jewfish, largest  21 lb; three spper; two  groper","seven , largest  21 lb; three ; two  ","jewfish, spper, groper seven jewfish, largest  21 lb; three spper; two  groper",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper, groper_12",21,,,FALSE,TRUE,FALSE_TRUE
16,ST 20101957 p.48,1957,10,Rottnest,midshore,4,Boat fitted with echo sounder,echo sounder,"3 fishers, 1 boat",boat,low,,,jewfish,"seven jewfish 21 lb largest. three spper, two a couple of groper",,lb,0.453592,21,9.525432,12,7,3,,"Colin Reid, Len Randall, Frantz Kurdc",3,1,,,,,,,,,"Other sharks: Blacktip whalers (4 mentions), Blue pointer shark 4, Blue shark 1, Blue whaler shark 4, Dogshark 2, Fiddle shark 1, school shark 4, shark 1, Thresher shark 1, Tiger shark 2, whiskery shark 2.","seven jewfish 21 lb largest. three [a few] spper, two [a couple] of groper","seven  21 lb largest. three [a few] , two [a couple] of ","jewfish seven jewfish 21 lb largest. three [a few] spper, two [a couple] of groper",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_12,21,,,FALSE,TRUE,FALSE_TRUE
15,ST 20101957 p.48,1957,10,Rottnest,midshore,4,,,party of 2,boat,low,,,jewfish,two jewfish 30  lbs largest. also: harlquenfish 3 lb,,lb,0.453592,30,13.60776,3,2,0,,,2,1,,,,,,,,,"Other 'reef fish': Beardie (1 record), Black spper 1, Butterfish 1, Chad 1, Dusky Morwong 2, Groper 4, Gunrd perch 3, Gunrd 1, Goatfish 3, Gold-spotted sweetlip 1, Groper 4, Hapuka 1, Leartherjacket 3, Luderick 1, Mako shark 2, Maori Wrasse 1 nnygai 3, North-West Groper 1, Parrot fish 1, Red-banded wrasse 1, Red spper 5, Seargant Baker 2, Wirrah 1, Winged gunrd 1 , white-nosed groper 2, Spotted cod 1.",two jewfish 30  lbs largest. also: harlquenfish 3 lb,two  30  lbs largest. also: harlquenfish 3 lb,jewfish two jewfish 30  lbs largest. also: harlquenfish 3 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,jewfish_3,30,,,FALSE,TRUE,FALSE_TRUE
