"","ID","yyyy","month","largest.dhufish.kg","Zone","latitude","scientific","echo_sounders","gps","bathy","depth","depth_zone","geometry"
"1",1,1904,"4",8.164656,"offshore_north",-31.7939019106597,"fish.size","pre","pre",-34.4699211120605,34.4699211120605,"inshore_demersal",c(115.575578846339, -31.7939019106597)
"2",2,1908,"1",13.60776,"near_rottnest",-32.0671512188933,"fish.size","pre","pre",-35.1148414611816,35.1148414611816,"inshore_demersal",c(115.456676668101, -32.0671512188933)
"3",3,1908,"3",8.164656,"near_rottnest",-32.029767603527,"fish.size","pre","pre",-19.8577213287354,19.8577213287354,"nearshore",c(115.568405588785, -32.029767603527)
"4",4,1908,"3",34.0194,"nearshore_south",-32.1812378609949,"fish.size","pre","pre",-9.57818984985352,9.57818984985352,"nearshore",c(115.60599754057, -32.1812378609949)
"5",5,1908,"4",1.814368,"nearshore_south",-32.0341110509482,"fish.size","pre","pre",-18.9328651428223,18.9328651428223,"nearshore",c(115.674046775516, -32.0341110509482)
"6",6,1910,"1",18.824068,"nearshore_south",-32.4778542343185,"fish.size","pre","pre",-14.786247253418,14.786247253418,"nearshore",c(115.611782530145, -32.4778542343185)
"7",7,1910,"4",11.3398,"nearshore_south",-32.1812378609949,"fish.size","pre","pre",-9.57818984985352,9.57818984985352,"nearshore",c(115.60599754057, -32.1812378609949)
"8",8,1911,"2",8.164656,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"9",9,1911,"2",17.0097,"near_rottnest",-32.0270333047972,"fish.size","pre","pre",-32.5121612548828,32.5121612548828,"inshore_demersal",c(115.426461339166, -32.0270333047972)
"10",10,1911,"4",7.257472,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"11",11,1911,"9",6.350288,"nearshore_south",-32.0341110509482,"fish.size","pre","pre",-18.9328651428223,18.9328651428223,"nearshore",c(115.674046775516, -32.0341110509482)
"12",12,1911,"9",17.236496,"near_rottnest",-32.0375905084253,"fish.size","pre","pre",-30.4515686035156,30.4515686035156,"inshore_demersal",c(115.509250149439, -32.0375905084253)
"13",13,1912,"1",5.443104,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"14",14,1912,"2",5.216308,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"15",15,1912,"2",9.525432,"near_rottnest",-32.0381359543947,"fish.size","pre","pre",-30.6269626617432,30.6269626617432,"inshore_demersal",c(115.429234330957, -32.0381359543947)
"16",16,1912,"3",7.257472,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"17",17,1912,"3",12.700576,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"18",18,1912,"3",6.577084,"nearshore_south",-32.2077943312051,"fish.size","pre","pre",-11.8431434631348,11.8431434631348,"nearshore",c(115.76137730955, -32.2077943312051)
"19",19,1912,"3",17.690088,"nearshore_south",-32.3353792318216,"fish.size","pre","pre",-18.3893585205078,18.3893585205078,"nearshore",c(115.708011655246, -32.3353792318216)
"20",20,1912,"3",6.80388,"near_rottnest",-32.0381359543947,"fish.size","pre","pre",-30.6269626617432,30.6269626617432,"inshore_demersal",c(115.429234330957, -32.0381359543947)
"21",21,1912,"5",7.257472,"nearshore_south",-32.1812378609949,"fish.size","pre","pre",-9.57818984985352,9.57818984985352,"nearshore",c(115.60599754057, -32.1812378609949)
"22",22,1912,"5",12.700576,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"23",23,1912,"5",9.979024,"nearshore_south",-32.3091143072383,"fish.size","pre","pre",-9.92881965637207,9.92881965637207,"nearshore",c(115.682810238112, -32.3091143072383)
"24",24,1912,"5",15.87572,"nearshore_south",-32.3353792318216,"fish.size","pre","pre",-18.3893585205078,18.3893585205078,"nearshore",c(115.708011655246, -32.3353792318216)
"25",25,1912,"5",12.246984,"near_rottnest",-32.0381359543947,"fish.size","pre","pre",-30.6269626617432,30.6269626617432,"inshore_demersal",c(115.429234330957, -32.0381359543947)
"26",26,1912,"7",23.133192,"nearshore_south",-32.3353792318216,"fish.size","pre","pre",-18.3893585205078,18.3893585205078,"nearshore",c(115.708011655246, -32.3353792318216)
"27",27,1912,"7",23.133192,"nearshore_south",-32.3353792318216,"fish.size","pre","pre",-18.3893585205078,18.3893585205078,"nearshore",c(115.708011655246, -32.3353792318216)
"28",28,1912,"7",4.53592,"near_rottnest",-31.9780327172232,"fish.size","pre","pre",-16.2506046295166,16.2506046295166,"nearshore",c(115.552483502535, -31.9780327172232)
