Reference,yyyy,,mm,Location,decade,Zone,largest.dhufish.lb,largest.dhufish.kg,largest.dhufish.length,largest.snapper.lb,largest.snapper.kg,Catches,Technology.mentioned,Effort,
20010114,2001,,1,cockburn sound,,,,,,,8,,,,
20010204_a,2001,,2,"130 fathoms unspecified, vic park angling club",,,,,,,,"grey-banded rock cod, silver mulloway",,,
20010204_b,2001,,2,"offshore hillarys, 55m",,,,18,,,,"7 dhufish, queen snapper, several baldchin grouper and breaksea",,,
20010204_c,2001,,2,offshore marmion,,,,20,,,,,,,
20010506,2001,,5,60m of water behind Rottnest,,,,21.5,,,,,,,
20010805,2001,,8,"5 fathom bank off mandurah, 30m",,,,10,,,,,,,
20010916,2001,,9,shallow water off scarborough,,,,8,,,,,,,
20011118,2001,,11,40km from mindarie,,,,10,,,,4 dhufish,,,
20011209,2001,,12,18km from mindarie,,,,10,,,,,,,
20011216,2001,,12,"107 meters of water, mindarie?",,,,20,,,,,,,
20020120,2002,,1,"30-40 metersof water, off two rocks",,,,10,,,,,,,
20020224,2002,,2,"unspecified depth, hillarys",,,,18.28,,,,,,,
20020811,2002,,8,"unspecified depth, two rocks",,,,10,,,,,,,
20021006,2002,,10,8km off two rocks,,,,10,,,,5 dhufish,,,
20021013,2002,,10,2km north of two rocks marina ,,,,8,,,,2,,,
20021110,2002,,11,20km off ocean reef in 40m of water,,,,24,1.09,,,27-30kg apparently,,,
20021208,2002,,12,back of rottnest,,,,12,,,,,,,
20030105,2003,,1,back of rottnest,,,,14.5,,,,,,,
20030202,2003,,2,11km from hillarys,,,,15,,,,,,,
20030223_a,2003,,2,"unspecified depth, marmion",,,,20.86,,,,best dhufish of marmion angling club comp,,,
20030223_b,2003,,2,shallow water near rottnest ,,,,11,,,,,,,
20030309,2003,,3,fishing near offshore cray pots,,,,7,,,,,,,
20030316,2003,,3,"quinns rcks, unspecified depth",,,,19.5,,,,,,,
20030518,2003,,5,north of two rocks ,,,,23,,,,,,,
20030615,2003,,6,just south of rottnes,,,,5,,,,,,,
20030622,2003,,6,near mindarie,,,,16,,,,3,,,
20030914,2003,,9,out from two rocks,,,,17,,,,,,,
20031026,2003,,10,"30 meters of water, back of garden island",,,,22,,,,,,,
20031102,2003,,11,"south of rottnest, 46m of water",,,,12,,,,,,,
20031130,2003,,11,30km from hillarys,,,,24,,,,,,,
20031228,2003,,12,north west of rottnest,,,,,,,,29kg grey banded rock cod,,,
20040222,2004,,2,beyond direction bank,,,,17,,,,6,,,
20040307,2004,,3,32m of water out from two rocks,,,,16,,,,,,,
20040328,2004,,3,"evening fish off ocean reef, seems nearshore",,,,11,,,,,,,
20040404,2004,,4,"75m of water, west of Garden island ",,,,20,,,,,,,
20040411,2004,,4,deep sea outing from hillarys,,,,13,,,,,,,
