"iteration","deviance_explained","aic","s_yyyy_p_value"
1,0.236275916624441,18053.3566017475,0
2,0.239246764879914,18027.8765643464,0
3,0.238711444335289,18067.224519595,0
4,0.230403660497048,18046.2996060061,0
5,0.23886460803847,18060.1866811916,0
6,0.239366006100175,18095.8445105,0
7,0.223964049082713,18068.6462336266,0
8,0.226784378524008,18025.379632788,0
9,0.233392147954838,18041.894950295,0
10,0.235667448287665,18060.9325419461,0
11,0.240433074985488,18057.275493601,0
12,0.231868083489964,18041.376503095,0
13,0.244409157183997,17998.8045623223,0
14,0.237965383261577,18011.5359215723,0
15,0.232910962480685,18017.7456343221,0
16,0.229136698093386,18071.9454527749,0
17,0.222183177048909,18048.6804662789,0
18,0.236320194796313,18076.6960475116,0
19,0.24715959110055,18004.8459275695,0
20,0.229869557665027,18014.4808424218,0
21,0.223595931391852,18076.5634932897,0
22,0.246069063279895,18046.0897506535,0
23,0.235786991999891,18018.8200619425,0
24,0.240721749047634,18070.9615689015,0
25,0.249177813589169,18003.3874419436,0
26,0.227206995813457,18098.2339842618,0
27,0.241495371432156,18010.5368345806,0
28,0.232352053607492,18064.0911378507,0
29,0.229281889684863,18080.3877936855,0
30,0.223448417048714,18062.9873508544,0
31,0.235940428869345,18025.476408323,0
32,0.235322033104954,18030.9314304858,0
33,0.229714904635837,18048.6758977926,0
34,0.238312261736087,18017.7876666346,0
35,0.247357305008672,18001.1483963957,0
36,0.247110273451564,18032.9239487792,0
37,0.247988251410006,18038.3727868418,0
38,0.245084495271425,18028.4121911005,0
39,0.23882075563337,18028.4744514073,0
40,0.241422495629677,18068.0467138203,0
41,0.240004889621208,18067.6064292366,0
42,0.241247261127497,18040.4986422088,0
43,0.236123356421519,18041.1872131658,0
44,0.236278348452031,18064.7595404768,0
45,0.239435082550136,18052.6961663099,0
46,0.23743364516277,18009.9367064536,0
47,0.232181166005147,18057.6429395889,0
48,0.236155112979975,18024.6265158489,0
49,0.240653259985404,18022.5117811952,0
50,0.234088728873544,18070.6641722941,0
51,0.241709302605652,18039.6965531458,0
52,0.231653128038123,18055.0077047681,0
53,0.238804505144946,18039.8256373046,0
54,0.236251387368961,18026.0514186962,0
55,0.223409993857263,18062.6275836876,0
56,0.241134099512737,18049.7521111715,0
57,0.242109206470083,18028.7910782286,0
58,0.24463772311744,18034.3654265732,0
59,0.240341344702528,18046.0020002236,0
60,0.243787885382116,18031.6579238253,0
61,0.240610584498407,18044.0067581468,0
62,0.230471989282922,18062.09201596,0
63,0.227513809336214,18055.0766909691,0
64,0.23550857783308,18075.3625204635,0
65,0.246327111189158,18029.9934905043,0
66,0.230993662262754,18083.4620319768,0
67,0.247835294323621,17993.086095541,0
68,0.235600559495178,18008.3931471032,0
69,0.21457697518393,18059.0191397327,0
70,0.227337987478432,18059.2592844293,0
71,0.234519812507519,18048.5622322452,0
72,0.238550909757605,18044.079153242,0
73,0.223896285366667,18024.7187384515,0
74,0.234572939886131,18067.4047037648,0
75,0.227097960364283,18019.5029620016,0
76,0.236644653675219,18009.0411163972,0
77,0.241761123595619,18005.1687697029,0
78,0.234594460092319,18045.8359052487,0
79,0.245728295830723,18070.8526406651,0
80,0.234166923643002,18044.2034003207,0
81,0.235581929158265,18056.720156345,0
