"","iteration","deviance_explained","aic","s_distance_p_value","s_yyyyinshore_p_value","s_yyyynearshore_p_value"
"s(distance)",1,0.157914420467062,4946.34544055567,0.0209808857723428,0,4.5040541690744e-06
"s(distance)1",2,0.159750575474928,4944.57654754493,0.0993987283755332,0,0.000102719265712203
"s(distance)2",3,0.161982169928662,4943.45320667101,0.0111920423414036,0,0
"s(distance)3",4,0.164139325873886,4941.44893591573,0.0419606532518683,0,0
"s(distance)4",5,0.158573939507855,4946.63501999508,0.0447048287447168,0,1.91796302434488e-06
"s(distance)5",6,0.158048326875392,4946.77893873192,0.0134047549604522,0,8.86964939161849e-07
"s(distance)6",7,0.160270875805118,4943.77996197213,0.090702644989097,0,0.000141132747360162
"s(distance)7",8,0.164007768017973,4940.3363142507,0.028916637227874,0,0.00063873555578664
"s(distance)8",9,0.158315395036017,4945.5785884336,0.0356444606172215,0,2.66952822181032e-07
"s(distance)9",10,0.160909493468868,4944.03691960428,0.0348280559934976,0,1.58608092715173e-06
"s(distance)10",11,0.157516490511563,4946.53075648746,0.0963394718338484,0,1.40092924266755e-06
"s(distance)11",12,0.160675366194794,4942.97849185037,0.131867546134857,0,6.8385323235276e-06
"s(distance)12",13,0.161643097879204,4943.95706787427,0.00759634863740294,0,1.33052961232005e-06
"s(distance)13",14,0.162180923569762,4941.29357549914,0.03704904730151,0,8.47251591609144e-05
"s(distance)14",15,0.161626590118884,4941.85990988529,0.0435555807618287,0,6.21525282491486e-05
"s(distance)15",16,0.156554431420829,4946.29625607408,0.0115106871886839,0,0
"s(distance)16",17,0.154876058384297,4949.26392339136,0.105997043931602,0,1.18693845685414e-06
"s(distance)17",18,0.165102589584492,4939.66983292884,0.0775079656990103,0,0.000209802732047071
"s(distance)18",19,0.164621270408829,4939.9819505332,0.0115671166167075,0,0
"s(distance)19",20,0.15930911124301,4944.47335607783,0.0470357752656183,0,1.65550583114404e-06
"s(distance)20",21,0.168423973170704,4936.66878676088,0.0148450984523399,0,0.00024994915824611
"s(distance)21",22,0.166238859785592,4939.091910957,0.0268273073030132,0,4.87108699376293e-07
"s(distance)22",23,0.161273827851923,4941.62582721039,0.0173417546947521,0,3.78853397735024e-05
"s(distance)23",24,0.167558095182041,4934.81913947453,0.0394690153082208,0,2.00178973186471e-06
"s(distance)24",25,0.162165455286074,4943.49506137461,0.0212973415978619,0,2.44737329541111e-05
"s(distance)25",26,0.163104357277011,4941.05612298139,0.0222251151254796,0,7.64098696870441e-07
"s(distance)26",27,0.158827303151638,4944.47148501957,0.0335775052893043,0,7.79672029034284e-05
"s(distance)27",28,0.156694266604302,4946.4211702571,0.0444272954919918,0,9.84608420351307e-07
"s(distance)28",29,0.16117965671604,4943.75949597304,0.0140717519880853,0,3.33974534089121e-06
"s(distance)29",30,0.16287450371686,4940.14246031403,0.028153150119504,0,0
"s(distance)30",31,0.163266933734157,4940.64863558879,0.0528126673253691,0,0
"s(distance)31",32,0.165012369031778,4940.11975509558,0.0252098592313988,0,4.49901712551437e-07
"s(distance)32",33,0.155241487348526,4947.4638177282,0.068231900714589,0,4.00101751735216e-06
"s(distance)33",34,0.164188025311114,4940.98115479915,0.01474451455292,0,7.14478601171464e-07
"s(distance)34",35,0.161496598457704,4943.14907797516,0.110855446849207,0,1.76995809658687e-06
"s(distance)35",36,0.16479467857366,4940.15452663124,0.0164662597129149,0,5.32483115011084e-05
"s(distance)36",37,0.165289760808933,4937.75433560546,0.0537678344637764,0,8.83875168611326e-07
"s(distance)37",38,0.154575568650743,4949.51668744027,0.162565341786013,0,5.04170558957018e-06
"s(distance)38",39,0.161931309306948,4942.49313844577,0.020041062220049,0,2.20205228246284e-06
"s(distance)39",40,0.162255037386351,4942.34173141497,0.0191553198523042,0,2.23340787017801e-05
"s(distance)40",41,0.162198666576748,4943.63350593635,0.0191680227181079,0,1.26072019901446e-06
"s(distance)41",42,0.167571004540849,4938.20737969018,0.00443412940510213,0,1.91881636073532e-05
"s(distance)42",43,0.163413928529993,4942.00495599284,0.0168465049636558,0,2.19683242000945e-05
"s(distance)43",44,0.162486980997062,4941.97614202619,0.0239290809893341,0,3.4832864799661e-05
"s(distance)44",45,0.166806619781735,4937.36511826183,0.0235654013941838,0,1.36296616033427e-05
"s(distance)45",46,0.158161861285993,4945.53502361647,0.029160185078331,0,1.48299336240054e-05
"s(distance)46",47,0.153901330121534,4949.95729892836,0.0552573306934053,0,0
"s(distance)47",48,0.167057228622062,4936.50762463426,0.0117151029460404,0,8.60982626282869e-06
"s(distance)48",49,0.156958927368375,4947.02968763342,0.0784331922308472,0,0
"s(distance)49",50,0.162521724254308,4939.49227516628,0.0190147050157639,0,3.27533046530215e-05
"s(distance)50",51,0.154969363967042,4949.34007606566,0.0812115290664268,0,0
"s(distance)51",52,0.161242325695467,4944.98018418631,0.0219338360839898,0,0
"s(distance)52",53,0.159491110837746,4944.85388621081,0.0286005284665435,0,1.6278572838202e-05
"s(distance)53",54,0.153562206129365,4951.20904207334,0.174543377116211,0,1.73150734567029e-06
"s(distance)54",55,0.168343978674802,4935.45607116871,0.0465556291564261,0,3.44105310261522e-05
